COD,start,AREA,PopupText,Count_start,IsMax,start_date
113_IE,2021-04,IE,COD: 113_IE <br> ChangeDate: ,1,NotMax,2021-04-01
114_IE,2021-01,IE,COD: 114_IE <br> ChangeDate: ,4,Max,2021-01-01
116_IE,2020-07,IE,COD: 116_IE <br> ChangeDate: ,1,NotMax,2020-07-01
147_IE,2020-10,IE,COD: 147_IE <br> ChangeDate: ,1,NotMax,2020-10-01
151_IE,2021-01,IE,COD: 151_IE <br> ChangeDate: ,4,Max,2021-01-01
161_PL,2021-01,PL,COD: 161_PL <br> ChangeDate: ,16,Max,2021-01-01
162_PL,2021-01,PL,COD: 162_PL <br> ChangeDate: ,16,Max,2021-01-01
168_PL,2021-01,PL,COD: 168_PL <br> ChangeDate: ,16,Max,2021-01-01
169_PL,2021-01,PL,COD: 169_PL <br> ChangeDate: ,16,Max,2021-01-01
171_PL,2021-01,PL,COD: 171_PL <br> ChangeDate: ,16,Max,2021-01-01
172_PL,2021-01,PL,COD: 172_PL <br> ChangeDate: ,16,Max,2021-01-01
174_PL,2021-01,PL,COD: 174_PL <br> ChangeDate: ,16,Max,2021-01-01
175_PL,2020-04,PL,COD: 175_PL <br> ChangeDate: ,1,NotMax,2020-04-01
177_PL,2021-01,PL,COD: 177_PL <br> ChangeDate: ,16,Max,2021-01-01
181_PL,2021-01,PL,COD: 181_PL <br> ChangeDate: ,16,Max,2021-01-01
186_PL,2021-01,PL,COD: 186_PL <br> ChangeDate: ,16,Max,2021-01-01
187_PL,2021-01,PL,COD: 187_PL <br> ChangeDate: ,16,Max,2021-01-01
189_PL,2021-01,PL,COD: 189_PL <br> ChangeDate: ,16,Max,2021-01-01
190_PL,2021-01,PL,COD: 190_PL <br> ChangeDate: ,16,Max,2021-01-01
202_PL,2020-01,PL,COD: 202_PL <br> ChangeDate: ,1,NotMax,2020-01-01
21_SC,2019-01,SC,COD: 21_SC <br> ChangeDate: ,1,Max,2019-01-01
228_PL,2021-01,PL,COD: 228_PL <br> ChangeDate: ,16,Max,2021-01-01
232_PL,2020-10,PL,COD: 232_PL <br> ChangeDate: ,1,NotMax,2020-10-01
233_PL,2021-01,PL,COD: 233_PL <br> ChangeDate: ,16,Max,2021-01-01
239_PL,2021-01,PL,COD: 239_PL <br> ChangeDate: ,16,Max,2021-01-01
244_ST,2020-01,ST,COD: 244_ST <br> ChangeDate: ,1,Max,2020-01-01
321_PE,2020-10,PE,COD: 321_PE <br> ChangeDate: ,1,NotMax,2020-10-01
323_PE,2020-07,PE,COD: 323_PE <br> ChangeDate: ,3,Max,2020-07-01
324_PE,2020-07,PE,COD: 324_PE <br> ChangeDate: ,3,Max,2020-07-01
330_PE,2020-07,PE,COD: 330_PE <br> ChangeDate: ,3,Max,2020-07-01
378_PE,2020-01,PE,COD: 378_PE <br> ChangeDate: ,1,NotMax,2020-01-01
398_PE,2020-04,PE,COD: 398_PE <br> ChangeDate: ,1,NotMax,2020-04-01
414_MS,2020-07,MS,COD: 414_MS <br> ChangeDate: ,6,Max,2020-07-01
424_MS,2021-04,MS,COD: 424_MS <br> ChangeDate: ,2,NotMax,2021-04-01
426_MS,2020-07,MS,COD: 426_MS <br> ChangeDate: ,6,Max,2020-07-01
431_MS,2020-07,MS,COD: 431_MS <br> ChangeDate: ,6,Max,2020-07-01
435_MS,2020-07,MS,COD: 435_MS <br> ChangeDate: ,6,Max,2020-07-01
438_MS,2020-04,MS,COD: 438_MS <br> ChangeDate: ,1,NotMax,2020-04-01
439_MS,2020-07,MS,COD: 439_MS <br> ChangeDate: ,6,Max,2020-07-01
440_MS,2021-04,MS,COD: 440_MS <br> ChangeDate: ,2,NotMax,2021-04-01
446_MS,2019-10,MS,COD: 446_MS <br> ChangeDate: ,1,NotMax,2019-10-01
457_MS,2020-10,MS,COD: 457_MS <br> ChangeDate: ,1,NotMax,2020-10-01
479_MS,2020-07,MS,COD: 479_MS <br> ChangeDate: ,6,Max,2020-07-01
485_FS,2021-01,FS,COD: 485_FS <br> ChangeDate: ,7,Max,2021-01-01
488_FS,2021-04,FS,COD: 488_FS <br> ChangeDate: ,3,NotMax,2021-04-01
489_FS,2021-04,FS,COD: 489_FS <br> ChangeDate: ,3,NotMax,2021-04-01
490_FS,2021-01,FS,COD: 490_FS <br> ChangeDate: ,7,Max,2021-01-01
491_FS,2021-01,FS,COD: 491_FS <br> ChangeDate: ,7,Max,2021-01-01
493_FS,2018-02,FS,COD: 493_FS <br> ChangeDate: ,1,NotMax,2018-02-01
4_SC,2019-10,SC,COD: 4_SC <br> ChangeDate: ,1,Max,2019-10-01
505_FS,2021-01,FS,COD: 505_FS <br> ChangeDate: ,7,Max,2021-01-01
529_FS,2021-01,FS,COD: 529_FS <br> ChangeDate: ,7,Max,2021-01-01
530_FS,2021-01,FS,COD: 530_FS <br> ChangeDate: ,7,Max,2021-01-01
549_FS,2021-04,FS,COD: 549_FS <br> ChangeDate: ,3,NotMax,2021-04-01
557_FS,2021-01,FS,COD: 557_FS <br> ChangeDate: ,7,Max,2021-01-01
573_BZ,2021-01,BZ,COD: 573_BZ <br> ChangeDate: ,2,Max,2021-01-01
574_BZ,2021-01,BZ,COD: 574_BZ <br> ChangeDate: ,2,Max,2021-01-01
586_BZ,2020-01,BZ,COD: 586_BZ <br> ChangeDate: ,1,NotMax,2020-01-01
642_MF,2020-01,MF,COD: 642_MF <br> ChangeDate: ,9,Max,2020-01-01
645_MF,2020-01,MF,COD: 645_MF <br> ChangeDate: ,9,Max,2020-01-01
656_MF,2020-01,MF,COD: 656_MF <br> ChangeDate: ,9,Max,2020-01-01
657_MF,2020-01,MF,COD: 657_MF <br> ChangeDate: ,9,Max,2020-01-01
676_MF,2020-01,MF,COD: 676_MF <br> ChangeDate: ,9,Max,2020-01-01
681_MF,2020-01,MF,COD: 681_MF <br> ChangeDate: ,9,Max,2020-01-01
682_MF,2020-01,MF,COD: 682_MF <br> ChangeDate: ,9,Max,2020-01-01
692_MF,2019-10,MF,COD: 692_MF <br> ChangeDate: ,1,NotMax,2019-10-01
693_MF,2020-01,MF,COD: 693_MF <br> ChangeDate: ,9,Max,2020-01-01
697_MF,2021-04,MF,COD: 697_MF <br> ChangeDate: ,1,NotMax,2021-04-01
698_MF,2021-07,MF,COD: 698_MF <br> ChangeDate: ,1,NotMax,2021-07-01
705_MF,2020-01,MF,COD: 705_MF <br> ChangeDate: ,9,Max,2020-01-01
727_TR,2019-10,TR,COD: 727_TR <br> ChangeDate: ,1,NotMax,2019-10-01
744_TR,2021-01,TR,COD: 744_TR <br> ChangeDate: ,4,Max,2021-01-01
747_TR,2021-01,TR,COD: 747_TR <br> ChangeDate: ,4,Max,2021-01-01
750_TR,2021-01,TR,COD: 750_TR <br> ChangeDate: ,4,Max,2021-01-01
770_TR,2021-01,TR,COD: 770_TR <br> ChangeDate: ,4,Max,2021-01-01
85_IE,2021-01,IE,COD: 85_IE <br> ChangeDate: ,4,Max,2021-01-01
86_IE,2021-01,IE,COD: 86_IE <br> ChangeDate: ,4,Max,2021-01-01
89_IE,2019-10,IE,COD: 89_IE <br> ChangeDate: ,1,NotMax,2019-10-01
