COD,start,AREA
113_IE,2020-1,IE
114_IE,2020-1,IE
116_IE,2019-7,IE
122_IE,2019-10,IE
147_IE,2019-10,IE
161_PL,2020-4,PL
162_PL,2020-1,PL
169_PL,2020-1,PL
174_PL,2020-1,PL
175_PL,2020-1,PL
190_PL,2020-1,PL
193_PL,2020-1,PL
202_PL,2019-1,PL
229_PL,2019-1,PL
230_PL,2019-1,PL
232_PL,2020-1,PL
233_PL,2020-1,PL
321_PE,2019-10,PE
324_PE,2019-7,PE
372_PE,2019-4,PE
373_PE,2019-1,PE
374_PE,2019-1,PE
424_MS,2020-1,MS
438_MS,2020-1,MS
439_MS,2020-1,MS
440_MS,2020-4,MS
461_MS,2019-7,MS
476_MS,2019-7,MS
479_MS,2019-7,MS
483_FS,2020-1,FS
488_FS,2020-4,FS
489_FS,2020-4,FS
4_SC,2018-10,SC
520_FS,2020-1,FS
530_FS,2020-1,FS
642_MF,2019-1,MF
645_MF,2019-4,MF
651_MF,2019-1,MF
656_MF,2019-1,MF
657_MF,2019-1,MF
659_MF,2019-1,MF
675_MF,2019-7,MF
678_MF,2019-7,MF
681_MF,2019-1,MF
682_MF,2019-1,MF
692_MF,2019-1,MF
693_MF,2019-1,MF
744_TR,2020-1,TR
747_TR,2020-1,TR
750_TR,2020-1,TR
770_TR,2020-1,TR
772_TR,2019-1,TR
85_IE,2020-1,IE
89_IE,2018-10,IE
