COD,intercept,slope,mk_p_value,Trend_Class
102_IE,0.7336961475914137,-7.5662623409546104e-6,0.41593762623302205,0
105_IE,0.6861015015509595,-3.315466736991569e-5,0.026179598354081148,1
106_IE,0.6861015015509595,-3.315466736991569e-5,0.026179598354081148,1
108_IE,0.7550600897220904,-3.28868518678446e-6,0.6254835936164522,0
111_IE,0.6952192876726985,-3.950798942662947e-5,0.005677232138159304,2
112_IE,0.703632271279896,-5.7647179576449006e-5,0.002856303628114438,2
113_IE,0.6945241860148799,-4.7330803960226526e-5,1.8325233092108503e-5,3
114_IE,0.7085096295481035,-5.42531967756786e-5,4.03110370943887e-6,3
115_IE,0.7261352234773619,-2.013593421485555e-5,0.3028130413278165,0
116_IE,0.7181865137330627,-2.8496342045920236e-5,9.390125330806508e-4,3
117_IE,0.7398635208721265,-1.7155446135295442e-5,0.010805309438568245,1
118_IE,0.7327375757674549,-1.7051881567664368e-5,0.03442381432538878,1
119_IE,0.7485427513045555,-5.189696839719249e-6,0.17515792247265102,0
11_SC,0.7211116427783605,-1.1387487480756124e-5,0.7042213495481418,0
120_IE,0.7524229058163727,-4.613270904245022e-6,0.25475116299043793,0
122_IE,0.6773273882877663,-4.198824831404702e-5,0.007874639047666712,2
123_IE,0.683650242028681,-3.247331979097661e-5,0.03442381432538878,1
126_IE,0.7252735388574679,-5.708418691136852e-6,0.6254835936164522,0
127_IE,0.7528537318398316,-4.943863218133705e-6,0.41593762623302205,0
128_IE,0.7423733123260796,1.2450397220021952e-5,0.17515792247265102,0
129_IE,0.7112487760510763,1.5528870865716568e-7,0.11577768575893195,0
130_IE,0.7495249651490072,-9.835288081296976e-7,0.7042213495481418,0
134_IE,0.7488765716552734,1.1483844459756724e-5,0.25475116299043793,0
135_IE,0.7293031582688846,2.3341568607987388e-6,0.4807953081776507,0
136_IE,0.7279786492109964,1.3877711836852771e-5,0.07350596825708802,0
140_IE,0.761887555634833,2.0632075763036824e-5,1.1187855507857059e-5,0
141_IE,0.7621022076619541,-1.423288868981493e-5,0.03442381432538878,1
142_IE,0.754247249158609,-1.3818317779226617e-5,0.03442381432538878,1
143_IE,0.721350857106221,-1.3457158053270172e-5,0.09272192830739202,0
144_IE,0.7633285179429368,-2.8995022029034408e-6,0.3565523377672604,0
146_IE,0.754282612807652,-2.3389024316915007e-5,0.010805309438568245,1
147_IE,0.7186568243705653,-2.810724193731596e-5,0.001993096855857301,2
149_IE,0.7241432571912457,-2.607247113085061e-5,0.07350596825708802,0
14_SC,0.7406716163110252,1.1678121189736658e-5,0.41593762623302205,0
150_IE,0.7161698987359089,-2.592393570262688e-5,0.002856303628114438,2
151_IE,0.7183513358143143,-3.098556633211932e-5,0.004048875107081628,2
161_PL,0.7131679785278325,-5.8123028814860104e-5,1.1187855507857059e-5,3
162_PL,0.7630289921644445,-2.2576762256705078e-5,0.004048875107081628,2
164_PL,0.7813844355487722,-2.6845665448283565e-5,0.04479155364412944,1
165_PL,0.7567336224123276,-1.4900209511216759e-5,0.41593762623302205,0
166_PL,0.7630248999963856,-2.529327783383717e-5,0.001375591267246586,2
167_PL,0.7630248999963856,-2.529327783383717e-5,0.001375591267246586,2
168_PL,0.748242675862183,-2.953391735888327e-5,0.01970056376877756,1
169_PL,0.7606082706593562,-3.178213221110799e-5,0.002856303628114438,2
171_PL,0.7292401941930535,-4.520577822191153e-5,9.390125330806508e-4,3
172_PL,0.7520200808842977,-3.516678251241009e-5,0.01970056376877756,1
174_PL,0.7241954212281434,-2.579549479937425e-5,0.014668259625073754,1
175_PL,0.7924304175298622,-3.609796808595e-5,1.825248978374082e-4,3
176_PL,0.7652795301026976,-1.5633693900318055e-5,0.25475116299043793,0
177_PL,0.7522617836205352,-2.541077880218289e-5,0.014668259625073754,1
178_PL,0.7734017831881446,-1.412325657617688e-5,0.07350596825708802,0
179_PL,0.7608482495574311,-2.2445936560051754e-5,0.007874639047666712,2
180_PL,0.7643477399508536,-2.410845555402819e-5,0.004048875107081628,2
181_PL,0.7503059962010947,-2.5467700471960355e-5,0.04479155364412944,1
183_PL,0.7544470148207904,-3.161467202962174e-5,0.09272192830739202,0
185_PL,0.7225632921360662,-1.5571068586759296e-5,0.41593762623302205,0
